semester,course_code,section,course_name,modality,comment_type,prompt,comment_text,notes
Fall 2017,382,001,Consumer Behavior,in-person,signed,general,One of my favorite professors. Kind and genuine and always makes sure everyone is comfortable. I’d say add more useful info on slides to help study. Thanks for everything!,
Fall 2017,382,001,Consumer Behavior,in-person,signed,general,"While the class was one of my harder ones, I really enjoyed learning from Erin Carter. Super enthusiastic and passionate about the subject and always provided good feedback & informational lectures.",
Fall 2017,382,001,Consumer Behavior,in-person,signed,general,Study Guides pls! I studied way too much,
Fall 2017,382,001,Consumer Behavior,in-person,signed,general,"Extremely good lecturer, expecially since it is her first semester here too. Excited to be in one of her classes next semester too",
Fall 2017,382,001,Consumer Behavior,in-person,signed,general,I love your lectures…Well worth paying attention.,
Fall 2017,382,001,Consumer Behavior,in-person,signed,general,Professor Carter’s classes were always enjoyable because we always came out learning how companies apply seemingly basic concepts to their marketing campaigns. Thank you!,
Fall 2017,382,001,Consumer Behavior,in-person,signed,general,"Erin is one of the best professors I’ve had in the MBS program. During her mid-semester evaluation, some students expressed that exams covered too many chapters, and she accepts that feedback, and I have nothing bad to say about her now. She is also a great lecturer.",
Fall 2017,382,002,Consumer Behavior,in-person,signed,general,One of the best instructors I’ve had here. Enthusiastic about both the class and student evaluations.,
Fall 2017,382,002,Consumer Behavior,in-person,signed,general,I really enjoyed this course and how you ran it. Very down to Earth & enjoyable lectures that were always entertaining.,
Fall 2017,382,002,Consumer Behavior,in-person,signed,general,Best teacher in the Maine Business School. Engaging and great at finding ways to explain the material. I was sad when I had to miss this class. She is the Best the G.O.A.T.,
Fall 2017,382,002,Consumer Behavior,in-person,signed,general,"Erin clearly puts much time & effort into her lectures. Her exams are difficult but fair, and one can do very well provided they put in the time & effort. She is extremely knowledgeable & is one of my favorite professors at UMaine.",
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,One of the best professors I have had in my four years at this University,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,I had Erin 2 semesters in a row and she was fabulous both of them. Favorite business professor by far,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,"One of my favorite professors I’ve had during my time at MBS. Funny, smart, and genuinely nice. Thank you Professor Carter!",
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,"Seeing as sales is a career I want after school, this course was extremely helpful. For a 1st time class it was well structured especially because sales seems like a tough course to construct.",
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,I am really happy that I took this course. All of the lectures were worth attending. You explain topics very well and use very good (real world) examples.,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,I enjoyed this class. Dr. Carted presented all aspects of the sales industry in a fun way. Classes were always informative and entertaining.,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,"Great class to take as a graduating senior heading into a beginning sales position. She is a great, engaging, and entertaining professor. Lecture was always worth attending.",
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,Professor Carter demonstrates a true understanding of the sales topic and does a very good job of teaching this class. She is such a pleasure to have as a professor. Sorry I don’t have an eraser.,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,Erin has been a fantastic teacher and mentor. She has been a role model for me and I enjoy her teaching style. She always ensures the classroom environment is fun and respectful.,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,Instructor made class worth attending,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,Extremely helpful,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,Very encouraging,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,Class time was never a waste,
Spring 2018,374,001,Personal Selling & Sales Management,in-person,signed,general,"Interesting prof who is fun to listen to and very friendly, appreciated the humor. Everything was laid out clearly and I enjoyed the course (do not see myself as a sales guy, but learned some great stuff for selling myself better).",
